"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","1,143,900","336,108","23,601","166,314","96,783","427,297","2,350","91,447"
"3","President's Office","66,314","49,114","5,021","11,657","‐","‐","199","323"
"4","P.L.O. Institutions","479,579","70,210","3,264","62,153","‐","339,973","11","3,969"
"5","Legislative Council","7,959","6,041","671","599","‐","647","‐","‐"
"6","Ministers' Council","8,637","3,717","270","2 ,467","‐","‐","194","1,990"
"7","General Secretariat for the council of ministers","7,739","5,974","633","1 ,127","‐","‐","5","‐"
"8","Office of the Deputy Prime Minister","316","183","4","129","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","6,920","5,322","605","993","‐","‐","‐","‐"
"10","Ministry of Local Government","61,854","12,949","1,272","1 ,798","‐","7,555","3","38,276"
"11","Ministry of Finance & Planning","88,910","42,030","3,774","7 ,468","‐","30,669","671","4,298"
"12","Ministry of Foreign Affairs","37,877","33,710","2,351","1 ,534","‐","‐","22","261"
"13","Embassies","98,022","48,784","‐","42,975","‐","5,609","654","‐"
"14","Negotiations Affairs Department","1,070","768","79","222","‐","‐","‐","‐"
"15","General Personnel Office","39,166","33,305","3,891","1 ,949","‐","‐","13","7"
"16","Palestinian Central Bureau of Statistics","17,165","7,451","830","2 ,988","‐","‐","‐","5,897"
"17","Ministry of Jerusalem Affairs","21,941","5,701","102","181","‐","11,869","‐","4,088"
"18","General Authority for crossings and borders","61,047","8,880","637","20,419","‐","‐","529","30,582"
"19","Non Governmental Organization","17,830","1,969","198","319","‐","15,344","‐","‐"
"20","Central Election Committee","8,549","‐","‐","7 ,187","‐","‐","‐","1,363"
"21","General Expenditures","4,618","‐","‐","‐","‐","4,618","‐","‐"
"22","Public Debt Interest Payments","96,783","‐","‐","‐","96,783","‐","‐","‐"
"23","Financial Reserves","11,014","‐","‐","‐","‐","11,014","‐","‐"
"24","Leadership and mastery","592","‐","‐","149","‐","‐","49","394"
"25","2. Defense","‐","‐","‐","‐","‐","‐","‐","‐"
"26","3. Public order and safety","1,936,279","1,537,675","163,630","162,867","0","0","945","71,163"
"27","Ministry of Interior and National Security","1,826,240","1,451,879","154,588","149,931","‐","‐","883","68,959"
"28","Ministry of Justice","33,356","26,466","2,939","3 ,567","‐","‐","2","382"
"29","Supreme Judicial Council","57,065","43,961","4,798","7 ,548","‐","‐","60","697"
"30","The Higher Judicial Council","15,402","12,458","1,195","1 ,419","‐","‐","‐","329"
"31","The Supreme Constitutional Court","2,981","2,575","80","327","‐","‐","‐","‐"
"32","Supreme Council for Public Procurement Policies","1,235","336","30","75","‐","‐","‐","795"
"33","4. Economic affairs","214,766","133,587","12,929","23,999","0","11,593","42","32,616"
"34","Ministry of National Economy","25,230","21,095","2,422","1 ,713","‐","‐","‐","‐"
"35","Specifications and Standards Office","5,842","4,343","427","754","‐","‐","‐","318"
"36","Ministry of Agriculture","64,414","40,697","3,660","5 ,373","‐","‐","‐","14,684"
"37","Ministry of Energy and Natural Resources","28,069","2,154","189","545","‐","11,593","‐","13,587"
"38","Ministry of Transportation","25,074","19,683","1,950","3 ,305","‐","‐","‐","136"
"39","Ministry of Communications and Information Technology","24,911","15,155","1,353","7 ,903","‐","‐","‐","500"
"40","Ministry of Tourism and Antiquities","14,341","8,812","758","1 ,751","‐","‐","29","2,992"
"41","Ministry of Labor","22,941","18,620","1,821","2 ,233","‐","‐","2","264"
"42","General Authority for Investment Promotion","1,438","1,075","122","229","‐","‐","11","‐"
"43","Industrial Zones Board","2,507","1,953","225","193","‐","‐","‐","136"
