"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","11,218","7,873","927","832","0",NA,"0","31","1,555"
"3","Environmental Quality Authority","11,218","7,873","927","832","‐",NA,"‐","31","1,555"
"4","6. Housing and community amenities","194,613","64,139","5,415","21,550","0",NA,"0","280","103,230"
"5","Ministry of Public Works and Housing","69,242","26,737","2,711","3,366","‐",NA,"‐","116","36,312"
"6","Land Authority","17,319","13,549","1,254","2,166","‐",NA,"‐","11","338"
"7","Palestinian Water Authority","89,185","11,772","1,028","15,188","‐",NA,"‐","153","61,045"
"8","Form of Land & Water  intercession","18,868","12,081","422","830","‐",NA,"‐","0","5,535"
"9","7. Health","1,054,805","512,582","46,023","419,316","0",NA,"0","41,421","35,462"
"10","Ministry of Health","1,054,805","512,582","46,023","419,316","‐",NA,"‐","41,421","35,462"
"11","8. Recreation, culture, and religion","258,675","168,228","17,176","56,213","0",NA,"0","385","16,673"
"12","Higher Council For Youth And Sports","34,064","19,356","1,928","11,645","‐",NA,"‐","39","1,096"
"13","Ministry of Culture","13,425","8,324","925","2,840","‐",NA,"‐","4","1,332"
"14","Ministry of Information","5,361","4,248","434","678","‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","80,283","41,585","4,027","34,421","‐",NA,"‐","250","‐"
"16","The Palestinian News Agency ‐ WAFA","12,038","8,665","1,000","1,508","‐",NA,"‐","17","848"
"17","Al‐Hayat Al‐Jadida Press","18,396","3,215","216","1,567","‐",NA,"‐","2","13,397"
"18","The Ministry of Awqaf and Religious Affairs","90,588","79,423","8,385","2,708","‐",NA,"‐","72","‐"
"19","Dar Al Fatwa and Islamic Research","4,519","3,413","260","846","‐",NA,"‐","‐","‐"
"20","9. Education","2,121,472","1,684,724","170,266","125,561","0",NA,"12,706","3","128,211"
"21","Ministry of Education","2,032,647","1,624,946","164,483","121,167","‐",NA,"‐","3","122,048"
"22","Ministry of Higher Education and Scientific Research","88,825","59,778","5,783","4,395","‐",NA,"12,706","‐","6,163"
"23","10. Social protection","2,497,963","40,240","4,262","6,193","0",NA,"2,443,376","35","3,857"
"24","Ministry of Social Affairs","927,435","37,019","4,037","4,598","‐",NA,"878,440","35","3,306"
"25","Ministry of Women's Affairs","5,471","3,031","294","1,595","‐",NA,"‐","‐","551"
"26","Retirees Pension Allowances","1,565,057","190","(69)","‐","‐",NA,"1,564,937","‐","‐"
"27","Totals","10,538,150","5,053,081","501,544","1,155,356","147,274",NA,"3,062,622","48,395","569,878"
