"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","753,430","243,746","16,855","116,586","66,646","260,668","829","48,101"
"3","President's Office","46,048","35,103","3,601","6,909","-","-","112","323"
"4","P.L.O. Institutions","309,048","50,881","2,308","45,187","-","208,491","1","2,179"
"5","Legislative Council","5,570","4,299","475","427","-","370","-","-"
"6","Ministers' Council","6,709","2,690","191","1,851","-","-","68","1,909"
"7","General Secretariat for the council of ministers","5,458","4,253","451","753","-","-","1","-"
"8","Office of the Deputy Prime Minister","223","128","3","93","-","-","-","-"
"9","State Audit & Administrative Control Bureau","4,945","3,824","433","688","-","-","-","-"
"10","Ministry of Local Government","37,076","9,236","907","1,162","-","5,134","-","20,637"
"11","Ministry of Finance & Planning","56,173","29,982","2,677","4,866","-","15,392","4","3,251"
"12","Ministry of Foreign Affairs","26,947","24,105","1,719","840","-","-","22","261"
"13","Embassies","73,987","37,519","-","31,633","-","4,504","332","-"
"14","Negotiations Affairs Department","744","546","55","142","-","-","-","-"
"15","General Personnel Office","27,846","23,865","2,773","1,208","-","-","-","-"
"16","Palestinian Central Bureau of Statistics","12,501","5,299","593","2,400","-","-","-","4,208"
"17","Ministry of Jerusalem Affairs","11,919","4,082","73","113","-","7,632","-","19"
"18","General Authority for crossings and borders","33,827","6,519","454","12,613","-","-","289","13,952"
"19","Non Governmental Organization","9,402","1,415","142","221","-","7,624","-","-"
"20","Central Election Committee","6,716","-","-","5,353","-","-","-","1,363"
"21","General Expenditures","4,489","-","-","-","-","4,489","-","-"
"22","Public Debt Interest Payments","66,646","-","-","-","66,646","-","-","-"
"23","Financial Reserves","7,032","-","-","-","-","7,032","-","-"
"24","Leadership and mastery","125","-","-","125","-","-","-","-"
"25","2. Defense","-","-","-","-","-","-","-","-"
"26","3. Public order and safety","1,337,033","1,097,548","116,767","80,317","0","0","369","42,031"
"27","Ministry of Interior and National Security","1,258,661","1,035,868","110,294","71,790","-","-","311","40,398"
"28","Ministry of Justice","23,384","19,053","2,107","1,935","-","-","2","288"
"29","Supreme Judicial Council","41,160","31,531","3,432","5,443","-","-","57","697"
"30","The Higher Judicial Council","10,780","8,992","857","909","-","-","-","22"
"31","The Supreme Constitutional Court","2,117","1,865","57","196","-","-","-","-"
"32","Supreme Council for Public Procurement Policies","930","240","21","43","-","-","-","625"
"33","4. Economic affairs","130,919","96,630","9,254","10,554","0","0","38","14,444"
"34","Ministry of National Economy","18,011","15,123","1,731","1,157","-","-","-","-"
"35","Specifications and Standards Office","4,126","3,111","306","480","-","-","-","230"
"36","Ministry of Agriculture","42,567","29,928","2,624","2,684","-","-","-","7,331"
"37","Ministry of Energy and Natural Resources","5,922","1,537","134","288","-","-","-","3,963"
