"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","8,897","6,907","7 15","1 ,193","‐","‐","4 9","34"
"5","P.L.O. Institutions","73,037","1 1,741","4 71","10,903","‐","4 9,628","‐","294"
"6","Legislative Council","1,120","849","94","85","‐","92","‐","‐"
"7","Ministers' Council","1,029","506","38","4 54","‐","‐","‐","32"
"8","General Secretariat for the council of ministers","1,028","854","90","83","‐","‐","‐","‐"
"9","Office of the Deputy Prime Minister","45","29","1","15","‐","‐","‐","‐"
"10","State Audit & Administrative Control Bureau","935","746","86","1 04","‐","‐","‐","‐"
"11","General Personnel Office","5,455","4,683","5 51","2 21","‐","‐","‐","‐"
"12","Ministry of Finance & Planning","15,786","5,982","5 37","6 31","‐","8 ,160","3","4 74"
"13","Ministry of Jerusalem Affairs","3,850","816","14","17","‐","3 ,003","‐","‐"
"14","Non Governmental Organization","1,318","276","27","30","‐","985","‐","‐"
"15","Retirees Pension Allowances","186,135","20","‐","‐","‐","186,115","‐","‐"
"16","Public Debt Interest Payments","25,710","‐","‐","‐","25,710","‐","‐","‐"
"17","General Expenditures","27","‐","‐","‐","‐","27","‐","‐"
"18","Financial Reserves","5,920","‐","‐","‐","‐","5 ,920","‐","‐"
"19","General Authority for crossings and borders","6,386","1,312","92","3 ,001","‐","‐","4 2","1 ,940"
"20","Negotiations Affairs Department","121","105","11","4","‐","‐","‐","‐"
"21","Embassies","18,563","9,444","‐","7 ,976","‐","1 ,143","‐","‐"
"22","Central Election Committee","1,687","‐","‐","1 ,687","‐","‐","‐","‐"
"23","Ministry of Interior and National Security","254,248","2 11,355","22,069","13,899","‐","‐","3 9","6 ,887"
"24","Ministry of Justice","4,321","3,668","4 19","2 34","‐","‐","‐","‐"
"25","Supreme Judicial Council","8,824","6,183","6 79","1 ,961","‐","‐","‐","‐"
"26","Ministry of Foreign Affairs","5,375","4,962","3 24","90","‐","‐","‐","‐"
"27","The Higher Judicial Council","2,066","1,753","1 70","1 43","‐","‐","‐","‐"
"28","Supreme Council for Public Procurement Policies","110","47","4","5","‐","‐","‐","53"
"29","The Supreme Constitutional Court","393","362","11","20","‐","‐","‐","‐"
"30","Total","632,385","272,600","26,403","42,755","2 5,710","2 55,073","132","9,713"
"31","Infrastructure Sector","","","","","","","",""
"32","Palestinian Water Authority","6,730","1,266","1 15","7 35","‐","‐","‐","4 ,614"
"33","Ministry of Energy and Natural Resources","799","304","27","24","‐","‐","‐","444"
"34","Ministry of Transportation","3,344","2,791","2 79","2 73","‐","‐","‐","‐"
"35","Ministry of Communications and Information Techno","2,493","2,139","1 93","1 61","‐","‐","‐","‐"
"36","Ministry of Public Works and Housing","6,173","2,914","3 01","1 85","‐","‐","‐","2 ,772"
"37","Ministry of Local Government","7,253","1,846","1 82","1 53","‐","554","‐","4 ,519"
"38","Environmental Quality Authority","1,236","864","1 02","77","‐","‐","‐","194"
"39","Total","28,028","12,125","1,199","1,608","‐","5 54","‐","12,542"
"40","Economic Affairs","","","","","","","",""
"41","Palestinian Central Bureau of Statistics","2,582","1,061","1 19","5 04","‐","‐","‐","898"
"42","Ministry of Tourism and Antiquities","1,508","1,249","1 08","76","‐","‐","‐","75"
"43","Land Authority","1,794","1,534","1 40","1 20","‐","‐","‐","‐"
"44","Ministry of National Economy","3,518","2,976","3 38","2 04","‐","‐","‐","‐"
"45","Industrial Zones Board","338","285","32","20","‐","‐","‐","‐"
"46","Specifications and Standards Office","745","619","61","64","‐","‐","‐","‐"
"47","General Authority for Investment Promotion","186","153","17","15","‐","‐","‐","‐"
"48","Ministry of Agriculture","9,111","4,985","5 21","4 26","‐","‐","‐","3 ,179"
"49","Form of Land & Water  intercession","1,938","1,838","47","51","‐","‐","‐","2"
"50","Total","21,719","14,701","1,384","1,481","‐","‐","‐","4,154"
