"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","Budget","Actual.as"
"1","","Jan","Feb","March","April","May","Q 1","Jan ‐ May","",""
"2","","","","","","","","","2020","% of Budget"
"3","1. Social assistance benefits","80.666","121.523","121.229","250.990","110.202","323.418","684.610","",""
"4","Social assistance","35.562","55.483","54.026","184.450","43.201","145.071","372.722","",""
"5","Assistance to vulnerable families","27.486","48.858","50.007","49.361","49.830","126.351","225.542","",""
"6","Unemployment benefits","17.618","17.182","17.196","17.179","17.171","51.996","86.346","",""
"7","2. Social security benefits (civilian and military pensions)","77.205","193.171","193.009","189.128","187.436","463.385","839.949","",""
"8","3. Payments to NGOs and civil society & universities","0.323","1.918","7.201","2.826","4.376","9.442","16.644","",""
"9","4. Compensation for damages & emergency expenditures ‐ Reserves","2.382","0.854","5.032","14.375","0.885","8.268","23.528","",""
"10","5. Local government support","0.344","1.782","1.194","0.554","1.260","3.320","5.134","",""
"11","6. Other transfers","‐","1.730","1.947","1.541","2.578","3.677","7.796","",""
"12","7. Educational subsidies & scholarships","‐","0.182","‐","‐","0.079","0.182","0.261","",""
"13","Total","160.920","321.160","329.612","459.414","306.816","811.692","1,577.922","",""
"14","","","","","","","","","","22 Jun. 2020"
"15","","","","","","","","","","Updated 02 Jul. 2020"
"16","Table 8b. Fiscal Operations: Transfers, (Cash Basis) May 2020, million NIS.","","","","","","","","",""
"17","","","","","","","","","Budget","Actual as"
"18","","Jan","Febr","March","April","May","Q1","Jan ‐ May","",""
"19","","","","","","","","","2020","% of Budget"
"20","1. Social assistance benefits","80.666","120.991","120.982","250.898","29.969","322.639","603.506","",""
"21","Social assistance","35.562","54.979","53.892","184.358","8.497","144.433","337.288","",""
"22","Assistance to vulnerable families","27.486","48.830","49.894","49.361","21.472","126.210","197.043","",""
"23","Unemployment benefits","17.618","17.182","17.196","17.179","‐","51.996","69.175","",""
"24","2. Social security benefits (civilian and military pensions)","77.205","189.171","191.009","187.128","112.626","457.385","757.139","",""
"25","3. Payments to NGOs and civil society & universities","‐","0.302","1.389","2.133","3.376","1.691","7.200","",""
"26","4. Compensation for damages & emergency expenditures ‐ Reserves","1.786","0.323","0.156","9.678","0.782","2.265","1 2.725","",""
"27","5. Local government support","‐","1.192","0.533","0.525","0.676","1.725","2.926","",""
"28","6. Other transfers","‐","0.521","0.587","0.247","2.216","1.108","3.571","",""
"29","7. Educational subsidies & scholarships","‐","‐","‐","‐","‐","‐","‐","",""
"30","Total","159.657","312.500","314.656","450.609","149.645","786.813","1,387.067","",""
