"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","186,222","52,119","3,351","27,248","25,710","69,511","93","8,190"
"3","President's Office","8,897","6,907","715","1 ,193","‐","‐","49","34"
"4","P.L.O. Institutions","73,037","11,741","471","10,903","‐","49,628","‐","294"
"5","Legislative Council","1,120","849","94","85","‐","92","‐","‐"
"6","Ministers' Council","1,029","506","38","454","‐","‐","‐","32"
"7","General Secretariat for the council of ministers","1,028","854","90","83","‐","‐","‐","‐"
"8","Office of the Deputy Prime Minister","45","29","1","15","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","935","746","86","104","‐","‐","‐","‐"
"10","Ministry of Local Government","7,253","1,846","182","153","‐","554","‐","4,519"
"11","Ministry of Finance & Planning","15,786","5,982","537","631","‐","8,160","3","474"
"12","Ministry of Foreign Affairs","5,375","4,962","324","90","‐","‐","‐","‐"
"13","Embassies","18,563","9,444","‐","7 ,976","‐","1,143","‐","‐"
"14","Negotiations Affairs Department","121","105","11","4","‐","‐","‐","‐"
"15","General Personnel Office","5,455","4,683","551","221","‐","‐","‐","‐"
"16","Palestinian Central Bureau of Statistics","2,582","1,061","119","504","‐","‐","‐","898"
"17","Ministry of Jerusalem Affairs","3,850","816","14","17","‐","3,003","‐","‐"
"18","General Authority for crossings and borders","6,386","1,312","92","3 ,001","‐","‐","42","1,940"
"19","Non Governmental Organization","1,318","276","27","30","‐","985","‐","‐"
"20","Central Election Committee","1,687","‐","‐","1 ,687","‐","‐","‐","‐"
"21","General Expenditures","27","‐","‐","‐","‐","27","‐","‐"
"22","Public Debt Interest Payments","25,710","‐","‐","‐","25,710","‐","‐","‐"
"23","Financial Reserves","5,920","‐","‐","‐","‐","5,920","‐","‐"
"24","Leadership and mastery","100","‐","‐","1 00","‐","‐","‐","‐"
"25","2. Defense","0","‐","‐","‐","‐","‐","‐","‐"
"26","3. Public order and safety","269,961","223,368","23,353","16,263","0","0","39","6,940"
"27","Ministry of Interior and National Security","254,248","211,355","22,069","13,899","‐","‐","39","6,887"
"28","Ministry of Justice","4,321","3,668","419","234","‐","‐","‐","‐"
"29","Supreme Judicial Council","8,824","6,183","679","1 ,961","‐","‐","‐","‐"
"30","The Higher Judicial Council","2,066","1,753","170","143","‐","‐","‐","‐"
"31","The Supreme Constitutional Court","393","362","11","20","‐","‐","‐","‐"
"32","Supreme Council for Public Procurement Policies","110","47","4","5","‐","‐","‐","53"
"33","4. Economic affairs","25,146","18,181","1,838","1,429","0","0","0","3,698"
"34","Ministry of National Economy","3,518","2,976","338","204","‐","‐","‐","‐"
"35","Specifications and Standards Office","745","619","61","64","‐","‐","‐","‐"
"36","Ministry of Agriculture","9,111","4,985","521","426","‐","‐","‐","3,179"
"37","Ministry of Energy and Natural Resources","799","304","27","24","‐","‐","‐","444"
"38","Ministry of Transportation","3,344","2,791","279","273","‐","‐","‐","‐"
"39","Ministry of Communications and Information Technology","2,493","2,139","193","161","‐","‐","‐","‐"
"40","Ministry of Tourism and Antiquities","1,508","1,249","108","76","‐","‐","‐","75"
"41","Ministry of Labor","3,104","2,679","260","165","‐","‐","‐","‐"
"42","General Authority for Investment Promotion","186","153","17","15","‐","‐","‐","‐"
"43","Industrial Zones Board","338","285","32","20","‐","‐","‐","‐"
