"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","924,539","277,474","20,259","129,642","74,366","349,014","1,371","72,413"
"3","President's Office","56,686","41,937","4,310","9,957","‐","‐","159","323"
"4","P.L.O. Institutions","390,915","55,201","2,796","47,731","‐","281,533","2","3,652"
"5","Legislative Council","6,833","5,186","577","514","‐","554","‐","‐"
"6","Ministers' Council","7,556","3,040","229","2,237","‐","‐","142","1,909"
"7","General Secretariat for the council of ministers","6,625","5,083","543","995","‐","‐","5","‐"
"8","Office of the Deputy Prime Minister","255","146","3","106","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","5,938","4,552","519","867","‐","‐","‐","‐"
"10","Ministry of Local Government","55,055","11,031","1,091","1,569","‐","6,451","3","34,910"
"11","Ministry of Finance & Planning","72,477","35,458","3,241","6,670","‐","22,699","356","4,052"
"12","Ministry of Foreign Affairs","32,472","28,771","2,030","1,388","‐","‐","22","261"
"13","Embassies","73,987","37,519","‐","31,633","‐","4,504","332","‐"
"14","Negotiations Affairs Department","928","650","67","210","‐","‐","‐","‐"
"15","General Personnel Office","33,567","28,490","3,336","1,721","‐","‐","13","7"
"16","Palestinian Central Bureau of Statistics","14,513","6,372","713","2,547","‐","‐","‐","4,880"
"17","Ministry of Jerusalem Affairs","15,867","4,891","88","163","‐","9,079","‐","1,647"
"18","General Authority for crossings and borders","43,266","7,470","546","15,551","‐","‐","289","19,410"
"19","Non Governmental Organization","11,408","1,677","170","281","‐","9,280","‐","‐"
"20","Central Election Committee","6,716","‐","‐","5,353","‐","‐","‐","1,363"
"21","General Expenditures","4,489","‐","‐","‐","‐","4,489","‐","‐"
"22","Public Debt Interest Payments","74,366","‐","‐","‐","74,366","‐","‐","‐"
"23","Financial Reserves","10,424","‐","‐","‐","‐","10,424","‐","‐"
"24","Leadership and mastery","198","‐","‐","149","‐","‐","49","‐"
"25","2. Defense","‐","‐","‐","‐","‐","‐","‐","‐"
"26","3. Public order and safety","1,603,031","1,299,369","140,210","114,002","0","0","718","48,732"
"27","Ministry of Interior and National Security","1,509,023","1,226,154","132,455","103,050","‐","‐","656","46,707"
"28","Ministry of Justice","28,343","22,686","2,522","2,800","‐","‐","2","333"
"29","Supreme Judicial Council","48,843","37,442","4,113","6,532","‐","‐","60","697"
"30","The Higher Judicial Council","13,197","10,623","1,026","1,262","‐","‐","‐","285"
"31","The Supreme Constitutional Court","2,542","2,185","68","289","‐","‐","‐","‐"
"32","Supreme Council for Public Procurement Policies","1,083","280","25","69","‐","‐","‐","709"
"33","4. Economic affairs","170,949","114,726","11,097","19,825","0","0","40","25,261"
"34","Ministry of National Economy","21,665","18,090","2,077","1,499","‐","‐","‐","‐"
"35","Specifications and Standards Office","5,030","3,680","366","665","‐","‐","‐","318"
"36","Ministry of Agriculture","55,729","35,579","3,143","4,681","‐","‐","‐","12,327"
"37","Ministry of Energy and Natural Resources","11,332","1,813","162","491","‐","‐","‐","8,866"
"38","Ministry of Transportation","21,421","16,762","1,674","2,849","‐","‐","‐","136"
"39","Ministry of Communications and Information Technology","20,246","12,890","1,162","5,694","‐","‐","‐","500"
"40","Ministry of Tourism and Antiquities","12,518","7,490","649","1,520","‐","‐","29","2,830"
"41","Ministry of Labor","19,609","15,849","1,564","2,047","‐","‐","‐","149"
"42","General Authority for Investment Promotion","1,244","917","105","211","‐","‐","11","‐"
"43","Industrial Zones Board","2,154","1,655","195","168","‐","‐","‐","136"
