"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","441,625","139,699","10,133","59,912","25,485","171,988","65","34,343"
"3","President's Office","27,538","21,186","2,166","3 ,865","‐","‐","34","286"
"4","P.L.O. Institutions","201,139","27,269","1,375","22,359","‐","148,620","1","1,515"
"5","Legislative Council","3,403","2,583","286","257","‐","277","‐","‐"
"6","Ministers' Council","4,814","1,688","115","1 ,159","‐","‐","6","1,846"
"7","General Secretariat for the council of ministers","3,291","2,565","271","454","‐","‐","1","‐"
"8","Office of the Deputy Prime Minister","132","79","2","52","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","3,007","2,308","261","438","‐","‐","‐","‐"
"10","Ministry of Local Government","23,695","5,568","544","753","‐","3,319","‐","13,511"
"11","Ministry of Finance & Planning","32,132","18,064","1,605","3 ,185","‐","6,810","‐","2,469"
"12","Ministry of Foreign Affairs","16,255","14,373","1,051","549","‐","‐","22","261"
"13","Embassies","36,391","18,634","‐","15,531","‐","2,226","‐","‐"
"14","Negotiations Affairs Department","480","331","33","116","‐","‐","‐","‐"
"15","General Personnel Office","16,864","14,422","1,667","774","‐","‐","‐","‐"
"16","Palestinian Central Bureau of Statistics","7,500","3,179","356","1 ,421","‐","‐","‐","2,544"
"17","Ministry of Jerusalem Affairs","5,717","2,464","44","60","‐","3,148","‐","‐"
"18","General Authority for crossings and borders","21,616","4,123","271","6 ,055","‐","‐","0","11,167"
"19","Non Governmental Organization","4,990","862","86","135","‐","3,907","‐","‐"
"20","Central Election Committee","3,495","‐","‐","2 ,750","‐","‐","‐","745"
"21","General Expenditures","2,722","‐","‐","‐","‐","2,722","‐","‐"
"22","Public Debt Interest Payments","25,485","‐","‐","‐","25,485","‐","‐","‐"
"23","Financial Reserves","957","‐","‐","‐","‐","957","‐","‐"
"24","2. Defense","‐","‐","‐","‐","‐","‐","‐","‐"
"25","3. Public order and safety","787,527","650,216","70,061","38,415","0","0","261","28,574"
"26","Ministry of Interior and National Security","740,393","613,082","66,167","33,732","‐","‐","260","27,152"
"27","Ministry of Justice","14,196","11,465","1,267","1 ,276","‐","‐","2","187"
"28","Supreme Judicial Council","24,297","18,918","2,066","2 ,616","‐","‐","‐","697"
"29","The Higher Judicial Council","6,632","5,465","515","630","‐","‐","‐","22"
"30","The Supreme Constitutional Court","1,303","1,141","34","128","‐","‐","‐","‐"
"31","Supreme Council for Public Procurement Policies","706","145","13","33","‐","‐","‐","516"
"32","4. Economic affairs","79,446","57,888","5,565","6,981","0","0","29","8,983"
"33","Ministry of National Economy","10,947","9,147","1,047","753","‐","‐","‐","‐"
"34","Specifications and Standards Office","2,361","1,873","184","305","‐","‐","‐","‐"
"35","Ministry of Agriculture","24,860","17,673","1,578","1 ,725","‐","‐","‐","3,883"
"36","Ministry of Energy and Natural Resources","3,856","902","81","217","‐","‐","‐","2,656"
"37","Ministry of Transportation","10,192","8,499","833","860","‐","‐","‐","‐"
"38","Ministry of Communications and Information Technology","8,084","6,594","584","906","‐","‐","‐","‐"
"39","Ministry of Tourism and Antiquities","7,338","3,787","324","904","‐","‐","29","2,294"
"40","Ministry of Labor","10,197","8,115","784","1 ,148","‐","‐","‐","149"
"41","General Authority for Investment Promotion","597","459","53","85","‐","‐","‐","‐"
"42","Industrial Zones Board","1,013","838","99","76","‐","‐","‐","‐"
