"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","267,121","87,433","6,800","29,774","23,706","102,177","29","17,203"
"3","President's Office","17,443","14,135","1,452","1 ,856","‐","‐","‐","‐"
"4","P.L.O. Institutions","121,266","15,835","918","10,705","‐","92,786","‐","1,022"
"5","Legislative Council","2,270","1,723","191","172","‐","185","‐","‐"
"6","Ministers' Council","1,676","1,061","77","471","‐","‐","6","62"
"7","General Secretariat for the council of ministers","2,165","1,700","180","283","‐","‐","1","‐"
"8","Office of the Deputy Prime Minister","59","49","1","9","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","1,966","1,545","175","246","‐","‐","‐","‐"
"10","Ministry of Local Government","14,679","3,695","362","439","‐","2,126","‐","8,057"
"11","Ministry of Finance & Planning","19,085","12,007","1,068","2 ,053","‐","2,109","‐","1,848"
"12","Ministry of Foreign Affairs","10,682","9,609","735","316","‐","‐","22","‐"
"13","Embassies","18,108","9,262","‐","7 ,737","‐","1,109","‐","‐"
"14","Negotiations Affairs Department","306","220","22","65","‐","‐","‐","‐"
"15","General Personnel Office","11,229","9,645","1,112","472","‐","‐","‐","‐"
"16","Palestinian Central Bureau of Statistics","5,063","2,120","237","765","‐","‐","‐","1,941"
"17","Ministry of Jerusalem Affairs","1,968","1,634","30","29","‐","275","‐","‐"
"18","General Authority for crossings and borders","9,343","2,621","184","3 ,010","‐","‐","‐","3,528"
"19","Non Governmental Organization","1,753","572","57","82","‐","1,041","‐","‐"
"20","Central Election Committee","1,809","‐","‐","1 ,063","‐","‐","‐","745"
"21","General Expenditures","1,730","‐","‐","‐","‐","1,730","‐","‐"
"22","Public Debt Interest Payments","23,706","‐","‐","‐","23,706","‐","‐","‐"
"23","Financial Reserves","817","‐","‐","‐","‐","817","‐","‐"
"24","2. Defense","0","‐","‐","‐","‐","‐","‐","‐"
"25","3. Public order and safety","511,126","426,476","46,709","18,280","0","0","41","19,621"
"26","Ministry of Interior and National Security","480,007","401,658","44,103","15,689","‐","‐","40","18,518"
"27","Ministry of Justice","9,335","7,665","844","803","‐","‐","1","22"
"28","Supreme Judicial Council","16,033","12,613","1,385","1 ,352","‐","‐","‐","683"
"29","The Higher Judicial Council","4,393","3,679","345","369","‐","‐","‐","‐"
"30","The Supreme Constitutional Court","836","768","22","46","‐","‐","‐","‐"
"31","Supreme Council for Public Procurement Policies","521","94","8","22","‐","‐","‐","397"
"32","4. Economic affairs","47,607","38,622","3,718","4,051","0","0","29","1,188"
"33","Ministry of National Economy","7,358","6,138","705","514","‐","‐","‐","‐"
"34","Specifications and Standards Office","1,519","1,237","122","160","‐","‐","‐","‐"
"35","Ministry of Agriculture","14,303","11,769","1,051","727","‐","‐","‐","755"
"36","Ministry of Energy and Natural Resources","853","596","54","125","‐","‐","‐","79"
"37","Ministry of Transportation","6,745","5,650","556","538","‐","‐","‐","‐"
"38","Ministry of Communications and Information Technology","5,168","4,382","390","395","‐","‐","‐","‐"
"39","Ministry of Tourism and Antiquities","3,713","2,512","216","601","‐","‐","29","354"
"40","Ministry of Labor","6,889","5,474","523","893","‐","‐","‐","‐"
"41","General Authority for Investment Promotion","398","305","35","57","‐","‐","‐","‐"
"42","Industrial Zones Board","662","558","65","40","‐","‐","‐","‐"
