"","X","X.1","X.2","X.3","X.4","Budget","Actual.as"
"1","","Jan","Feb","Mar","Jan‐Mar","",""
"2","","","","","","2020","% of Budget"
"3","1. Social assistance benefits","8 0.666","121.522","121.229","323.417","",""
"4","Social assistance","3 5.562","55.483","54.026","1 45.071","",""
"5","Assistance to vulnerable families","2 7.486","48.858","50.007","1 26.351","",""
"6","Unemployment benefits","1 7.618","1 7.182","1 7.196","51.996","",""
"7","2. Social security benefits (civilian and military pensions)","7 7.205","193.171","193.009","463.385","",""
"8","3. Payments to NGOs and civil society & universities","0.323","1.918","7.201","9.442","",""
"9","4. Compensation for damages & emergency expenditures ‐ Reserves","2.382","0.854","5.032","8.269","",""
"10","5. Local government support","0.344","1.782","1.194","3.320","",""
"11","6. Other transfers","‐","1.730","1.947","3.677","",""
"12","7. Educational subsidies & scholarships","‐","0.182","‐","0.182","",""
"13","Total","160.920","321.159","329.612","811.692","",""
"14","","","","","","","27 Apr. 2020"
"15","Table 8b. Fiscal Operations: Transfers, (Cash Basis) March 2020, million NIS.","","","","","",""
"16","","","","","","Budget","Actual as"
"17","","Jan","Feb","Mar","Jan‐Mar","",""
"18","","","","","","2020","% of Budget"
"19","1. Social assistance benefits","8 0.666","120.991","120.982","322.639","",""
"20","Social assistance","3 5.562","54.979","53.892","1 44.433","",""
"21","Assistance to vulnerable families","2 7.486","48.830","49.894","1 26.210","",""
"22","Unemployment benefits","1 7.618","1 7.182","17.196","51.996","",""
"23","2. Social security benefits (civilian and military pensions)","7 7.205","189.171","191.009","457.385","",""
"24","3. Payments to NGOs and civil society & universities","‐","0.302","1.389","1.691","",""
"25","4. Compensation for damages & emergency expenditures ‐ Reserves","1.786","0.323","0.156","2.265","",""
"26","5. Local government support","‐","1.192","0.533","1.725","",""
"27","6. Other transfers","‐","0.521","0.587","1.108","",""
"28","7. Educational subsidies & scholarships","‐","‐","‐","‐","",""
"29","Total","159.657","312.501","314.656","786.814","",""
