"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","1,987,281","538,644","36,982","293,705","180,561","724,921","4,958","207,509"
"3","President's Office","114,820","77,309","7,849","28,626","-","-","713","323"
"4","P.L.O. Institutions","791,852","114,989","5,104","107,442","-","552,711","126","11,480"
"5","Legislative Council","12,702","9,662","1,077","947","-","1,016","-","-"
"6","Ministers' Council","13,551","5,788","421","4,672","-","-","479","2,192"
"7","General Secretariat for the council of ministers","12,715","9,557","988","2,092","-","-","68","10"
"8","Office of the Deputy Prime Minister","572","289","6","276","-","-","1","-"
"9","State Audit & Administrative Control Bureau","11,084","8,367","948","1,769","-","-","-","-"
"10","Ministry of Local Government","135,687","20,294","1,999","4,282","-","19,413","41","89,657"
"11","Ministry of Finance & Planning","154,291","66,169","5,922","15,210","-","57,190","1,280","8,521"
"12","Ministry of Foreign Affairs","62,335","53,001","3,608","3,480","-","-","47","2,199"
"13","Embassies","164,040","82,066","-","70,972","-","9,552","1,451","-"
"14","Negotiations Affairs Department","1,831","1,218","126","487","-","-","-","-"
"15","General Personnel Office","62,206","52,338","6,159","3,532","-","-","117","60"
"16","Palestinian Central Bureau of Statistics","27,421","11,682","1,305","4,284","-","-","-","10,150"
"17","Ministry of Jerusalem Affairs","54,683","9,054","156","728","-","28,897","43","15,805"
"18","General Authority for crossings and borders","105,756","13,722","1,006","32,773","-","-","542","57,713"
"19","Non Governmental Organization","27,320","3,121","307","513","-","23,379","-","-"
"20","Central Election Committee","20,005","-","-","11,000","-","-","-","9,005"
"21","General Expenditures","14,958","-","-","-","-","14,958","-","-"
"22","Public Debt Interest Payments","180,561","-","-","-","180,561","-","-","-"
"23","Financial Reserves","17,804","-","-","-","-","17,804","-","-"
"24","Leadership and mastery","1,085","19","2","622","-","-","49","394"
"25","2. Defense","-","-","-","-","-","-","-","-"
"26","3. Public order and safety","3,178,673","2,427,574","257,352","373,832","0","0","4,634","115,280"
"27","Ministry of Interior and National Security","2,998,430","2,292,103","243,130","348,372","-","-","4,447","110,378"
"28","Ministry of Justice","54,340","41,753","4,629","7,192","-","-","16","750"
"29","Supreme Judge Department","25,553","19,408","1,864","2,943","-","-","29","1,309"
"30","High Judicial Council","93,635","69,747","7,556","14,427","-","-","128","1,777"
"31","The Supreme Constitutional Court","4,905","4,027","126","736","-","-","15","-"
"32","Supreme Council for Public Procurement Policies","1,810","536","46","161","-","-","-","1,066"
"33","4. Economic affairs","389,896","209,158","20,236","46,056","0","39,610","333","74,504"
"34","Ministry of National Economy","40,062","32,923","3,791","3,348","-","-","-","-"
"35","Specifications and Standards Office","9,616","6,794","667","1,486","-","-","192","477"
"36","Ministry of Agriculture","117,735","63,661","5,727","12,248","-","4","-","36,095"
"37","Ministry of Energy and Natural Resources","65,794","3,490","299","1,279","-","39,605","12","21,109"
"38","Ministry of Transportation","41,527","31,056","3,053","6,486","-","-","6","925"
"39","Ministry of Communications and Information Technology","42,537","23,769","2,116","12,146","-","-","-","4,506"
"40","Ministry of Tourism and Antiquities","28,499","13,847","1,190","3,021","-","-","45","10,397"
"41","Ministry of Labor","37,682","28,883","2,853","5,045","-","-","42","859"
"42","General Authority for Investment Promotion","2,294","1,690","191","397","-","-","16","-"
"43","Industrial Zones Board","4,150","3,046","349","599","-","-","21","136"
