"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","1,755,679","490,846","33,656","259,489","157,384","644,978","4,285","165,042"
"3","President's Office","96,699","70,255","7,143","18,391","-","-","587","323"
"4","P.L.O. Institutions","716,789","105,063","4,644","98,649","-","498,041","122","10,270"
"5","Legislative Council","11,579","8,811","982","862","-","924","-","-"
"6","Ministers' Council","12,259","5,260","383","4,163","-","-","321","2,131"
"7","General Secretariat for the council of ministers","11,422","8,598","899","1,881","-","-","35","10"
"8","Office of the Deputy Prime Minister","532","261","5","265","-","-","1","-"
"9","State Audit & Administrative Control Bureau","10,059","7,609","862","1,588","-","-","-","-"
"10","Ministry of Local Government","102,820","18,421","1,819","3,450","-","14,961","7","64,161"
"11","Ministry of Finance & Planning","136,242","60,166","5,390","13,733","-","48,134","1,182","7,638"
"12","Ministry of Foreign Affairs","56,689","48,192","3,298","2,973","-","-","27","2,199"
"13","Embassies","150,958","75,320","-","65,343","-","9,004","1,290","-"
"14","Negotiations Affairs Department","1,664","1,101","115","448","-","-","-","-"
"15","General Personnel Office","56,590","47,635","5,589","3,233","-","-","91","42"
"16","Palestinian Central Bureau of Statistics","24,444","10,651","1,187","4,081","-","-","-","8,525"
"17","Ministry of Jerusalem Affairs","47,614","8,198","143","651","-","25,158","43","13,421"
"18","General Authority for crossings and borders","93,545","12,438","915","28,841","-","-","529","50,821"
"19","Non Governmental Organization","24,441","2,855","280","417","-","20,889","-","-"
"20","Central Election Committee","15,188","-","-","10,083","-","-","-","5,105"
"21","General Expenditures","12,619","-","-","-","-","12,619","-","-"
"22","Public Debt Interest Payments","157,384","-","-","-","157,384","-","-","-"
"23","Financial Reserves","15,248","-","-","-","-","15,248","-","-"
"24","Leadership and mastery","895","12","1","439","-","-","49","394"
"25","2. Defense","-","-","-","-","-","-","-","-"
"26","3. Public order and safety","2,867,981","2,204,732","234,149","317,845","0","0","3,044","108,211"
"27","Ministry of Interior and National Security","2,706,120","2,081,909","221,226","295,762","-","-","2,870","104,353"
"28","Ministry of Justice","49,132","37,925","4,206","6,371","-","-","14","616"
"29","Supreme Judge Department","22,364","17,628","1,698","2,569","-","-","19","449"
"30","High Judicial Council","84,271","63,142","6,862","12,366","-","-","126","1,775"
"31","The Supreme Constitutional Court","4,430","3,649","114","650","-","-","15","-"
"32","Supreme Council for Public Procurement Policies","1,665","479","42","126","-","-","-","1,017"
"33","4. Economic affairs","345,797","190,192","18,412","41,054","0","39,605","288","56,246"
"34","Ministry of National Economy","36,341","29,952","3,450","2,940","-","-","-","-"
"35","Specifications and Standards Office","8,805","6,163","608","1,365","-","-","192","477"
"36","Ministry of Agriculture","95,902","57,875","5,210","10,845","-","-","-","21,971"
"37","Ministry of Energy and Natural Resources","64,874","3,147","272","979","-","39,605","12","20,860"
"38","Ministry of Transportation","37,320","28,171","2,778","5,445","-","-","-","925"
