"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","1,545,233","431,142","30,329","221,927","147,274","569,977","3,574","141,010"
"3","President's Office","86,732","63,164","6,437","16,469","‐","‐","339","323"
"4","P.L.O. Institutions","623,881","89,738","4,185","82,529","‐","441,186","112","6,131"
"5","Legislative Council","10,445","7,950","887","777","‐","832","‐","‐"
"6","Ministers' Council","11,198","4,722","346","3,689","‐","‐","315","2,126"
"7","General Secretariat for the council of ministers","10,198","7,695","810","1,660","‐","‐","33","‐"
"8","Office of the Deputy Prime Minister","442","233","5","204","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","9,022","6,856","776","1,389","‐","‐","‐","‐"
"10","Ministry of Local Government","93,488","16,616","1,638","3,039","‐","13,716","5","58,473"
"11","Ministry of Finance & Planning","120,579","54,188","4,858","11,334","‐","42,045","1,093","7,060"
"12","Ministry of Foreign Affairs","50,107","43,463","2,988","2,395","‐","‐","27","1,234"
"13","Embassies","124,885","61,910","‐","54,096","‐","7,908","971","‐"
"14","Negotiations Affairs Department","1,429","991","103","335","‐","‐","‐","‐"
"15","General Personnel Office","50,829","42,859","5,020","2,832","‐","‐","89","30"
"16","Palestinian Central Bureau of Statistics","22,052","9,594","1,069","3,906","‐","‐","‐","7,483"
"17","Ministry of Jerusalem Affairs","35,489","7,370","130","299","‐","21,229","12","6,449"
"18","General Authority for crossings and borders","88,956","11,269","824","26,657","‐","‐","529","49,678"
"19","Non Governmental Organization","22,787","2,519","253","429","‐","19,586","‐","‐"
"20","Central Election Committee","11,180","‐","‐","9,552","‐","‐","‐","1,628"
"21","General Expenditures","9,376","‐","‐","‐","‐","9,376","‐","‐"
"22","Public Debt Interest Payments","147,274","‐","‐","‐","147,274","‐","‐","‐"
"23","Financial Reserves","14,099","‐","‐","‐","‐","14,099","‐","‐"
"24","Leadership and mastery","783","5","1","334","‐","‐","49","394"
"25","2. Defense","‐","‐","‐","‐","‐","‐","‐","‐"
"26","3. Public order and safety","2,545,801","1,972,773","210,558","269,618","0","0","2,415","90,438"
"27","Ministry of Interior and National Security","2,402,502","1,862,343","198,933","250,993","‐","‐","2,277","87,956"
"28","Ministry of Justice","43,666","34,066","3,784","5,305","‐","‐","5","506"
"29","Supreme Judge Department","20,003","15,916","1,531","2,227","‐","‐","‐","329"
"30","High Judicial Council","74,152","56,725","6,169","10,433","‐","‐","125","699"
"31","The Supreme Constitutional Court","3,951","3,291","102","550","‐","‐","8","‐"
"32","Supreme Council for Public Procurement Policies","1,526","431","38","110","‐","‐","‐","947"
"33","4. Economic affairs","308,370","171,380","16,589","34,145","0","36,562","252","49,443"
"34","Ministry of National Economy","32,643","26,994","3,109","2,540","‐","‐","‐","‐"
"35","Specifications and Standards Office","7,921","5,564","548","1,193","‐","‐","178","439"
"36","Ministry of Agriculture","84,287","52,128","4,693","7,561","‐","‐","‐","19,906"
"37","Ministry of Energy and Natural Resources","60,434","2,838","244","864","‐","36,562","‐","19,926"
"38","Ministry of Transportation","33,496","25,336","2,502","4,732","‐","‐","‐","925"
"39","Ministry of Communications and Information Technology","32,845","19,494","1,731","11,120","‐","‐","‐","500"
"40","Ministry of Tourism and Antiquities","21,839","11,317","975","2,387","‐","‐","33","7,128"
"41","Ministry of Labor","29,788","23,824","2,342","3,133","‐","‐","7","483"
"42","General Authority for Investment Promotion","1,866","1,386","157","308","‐","‐","14","‐"
"43","Industrial Zones Board","3,251","2,499","287","308","‐","‐","21","136"
