"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","1,338,269","383,284","26,943","191,804","125,850","497,353","2,815","110,219"
"3","President's Office","76,559","56,162","5,730","14,111","-","-","232","323"
"4","P.L.O. Institutions","550,479","79,939","3,725","72,200","-","389,525","104","4,985"
"5","Legislative Council","9,221","7,010","779","692","-","739","-","-"
"6","Ministers' Council","10,107","4,220","308","3,240","-","-","299","2,040"
"7","General Secretariat for the council of ministers","8,967","6,807","721","1,433","-","-","5","-"
"8","Office of the Deputy Prime Minister","386","205","4","176","-","-","-","-"
"9","State Audit & Administrative Control Bureau","8,009","6,077","691","1,241","-","-","-","-"
"10","Ministry of Local Government","78,799","14,794","1,456","2,330","-","10,524","3","49,691"
"11","Ministry of Finance & Planning","106,340","48,024","4,307","9,085","-","38,822","710","5,392"
"12","Ministry of Foreign Affairs","43,349","38,464","2,665","1,935","-","-","25","261"
"13","Embassies","111,438","55,345","-","48,525","-","6,757","812","-"
"14","Negotiations Affairs Department","1,246","880","9 1","275","-","-","-","-"
"15","General Personnel Office","44,887","38,001","4,445","2,381","-","-","47","13"
"16","Palestinian Central Bureau of Statistics","19,427","8,531","950","3,496","-","-","-","6,450"
"17","Ministry of Jerusalem Affairs","29,203","6,543","116","225","-","16,306","-","6,014"
"18","General Authority for crossings and borders","66,282","10,037","729","21,828","-","-","529","33,160"
"19","Non Governmental Organization","19,313","2,244","226","379","-","16,465","-","-"
"20","Central Election Committee","9,598","-","-","8,103","-","-","-","1,495"
"21","General Expenditures","5,559","-","-","-","-","5,559","-","-"
"22","Public Debt Interest Payments","125,850","-","-","-","125,850","-","-","-"
"23","Financial Reserves","12,658","-","-","-","-","12,658","-","-"
"24","Leadership and mastery","592","-","-","149","-","-","49","394"
"25","2. Defense","-","-","-","-","-","-","-","-"
"26","3. Public order and safety","2,235,754","1,750,868","187,039","215,842","0","0","1,431","80,574"
"27","Ministry of Interior and National Security","2,109,559","1 ,652,844","176,710","2 00,450","-","-","1,305","78,250"
"28","Ministry of Justice","38,234","30,181","3,355","4,283","-","-","2","413"
"29","Supreme Judge Department","17,638","14,192","1,364","1,753","-","-","-","329"
"30","High Judicial Council","65,458","50,331","5,484","8,819","-","-","124","699"
"31","The Supreme Constitutional Court","3,470","2,937","9 1","442","-","-","-","-"
"32","Supreme Council for Public Procurement Policies","1,395","383","3 4","95","-","-","-","883"
"33","4. Economic affairs","256,401","152,410","14,762","27,708","0","19,255","249","42,017"
"34","Ministry of National Economy","28,940","24,034","2,763","2,142","-","-","-","-"
"35","Specifications and Standards Office","6,965","4,958","488","913","-","-","178","429"
"36","Ministry of Agriculture","72,407","46,415","4,177","6,550","-","-","-","15,266"
"37","Ministry of Energy and Natural Resources","41,223","2,463","217","733","-","19,255","-","18,555"
"38","Ministry of Transportation","28,560","22,508","2,227","3,690","-","-","-","136"
"39","Ministry of Communications and Information Technology","27,788","17,325","1,543","8,420","-","-","-","500"
"40","Ministry of Tourism and Antiquities","19,621","10,072","867","2,031","-","-","33","6,618"
"41","Ministry of Labor","26,369","21,177","2,085","2,725","-","-","4","379"
"42","General Authority for Investment Promotion","1,651","1,231","140","267","-","-","14","-"
"43","Industrial Zones Board","2,878","2,227","256","238","-","-","21","136"
